i,time,PWM_l,PWM_r,x,y,theta
151,15.100000000000001,0.5,0.25,-591.8335720834604,-579.636750866368,4.275264109385348
152,15.200000000000001,0.5,0.25,-596.2542421539947,-589.3159265188608,4.20910646943182
153,15.3,0.5,0.25,-601.3854238348448,-598.5730408382972,4.142867029832509
154,15.4,0.5,0.25,-607.1540454293986,-607.5543079762336,4.076623335988175
155,15.5,0.5,0.25,-613.5601438553567,-615.9693281686044,4.011131379768277
156,15.600000000000001,0.5,0.25,-620.4707974106941,-624.157878654851,3.9450049490345567
157,15.700000000000001,0.5,0.25,-627.8643106022168,-631.9335920775122,3.8786415754350645
158,15.8,0.5,0.25,-635.678471310357,-639.0870326616653,3.8126721631493794
159,15.9,0.5,0.25,-643.9844363448789,-645.6849006585223,3.747416740430614
160,16.0,0.5,0.25,-652.5603048297152,-651.7307516374784,3.6806317429461517
161,16.1,0.5,0.25,-661.7828905448114,-657.2229990668285,3.614633889647939
162,16.2,0.5,0.25,-671.3531114713943,-662.0565992351645,3.547550942834523
163,16.3,0.5,0.25,-681.0437733506639,-666.2608238015531,3.4810409251598062
164,16.400000000000002,0.5,0.25,-691.052382740818,-669.8354346467721,3.415097762229334
165,16.5,0.5,0.25,-701.3993975537418,-672.7243101868373,3.3488687242331907
166,16.6,0.5,0.25,-711.6221703011217,-674.8851230893264,3.2823966388401855
167,16.7,0.5,0.25,-722.0331366385167,-676.3774952343588,3.215349645378384
168,16.8,0.5,0.25,-732.5926623411102,-677.1563959752639,3.1476171547119134
169,16.900000000000002,0.5,0.25,-743.1901243652925,-677.2207304561916,3.081054126523322
170,17.0,0.5,0.25,-753.8863656781575,-676.5797266217998,3.014389954043597
171,17.1,0.5,0.25,-764.5390905580041,-675.2318889867016,2.9484747348120717
172,17.2,0.5,0.25,-774.9329386474507,-673.1738516283156,2.8825366315846934
173,17.3,0.5,0.25,-785.15776135346,-670.4398399345055,2.816655708339858
174,17.400000000000002,0.5,0.25,-795.1574373147557,-667.0045991104328,2.7499382788222917
175,17.5,0.5,0.25,-804.8516201828609,-662.9126857521677,2.6850204779249354
176,17.6,0.5,0.25,-814.5022905293492,-658.279874384459,2.6179544900758125
177,17.7,0.5,0.25,-823.6568742433094,-653.0278453166295,2.5505900599673965
178,17.8,0.5,0.25,-832.4925482370661,-647.1716093069639,2.4838423022177993
179,17.900000000000002,0.5,0.25,-840.9247683263771,-640.6824090560852,2.417138437439097
180,18.0,0.5,0.25,-848.8811440336647,-633.6833662060026,2.3505824266309348
181,18.1,0.5,0.25,-856.2667314629103,-626.1968354136602,2.2843160359541392
182,18.2,0.5,0.25,-863.2905146669091,-618.1250276013659,2.2172924891111085
183,18.3,0.5,0.25,-869.7032345303654,-609.5122532432636,2.1515288313410066
184,18.400000000000002,0.5,0.25,-875.5308250072574,-600.6032557788419,2.085745968955212
185,18.5,0.5,0.25,-880.8071794442022,-591.4457604926733,2.019656514653381
186,18.6,0.5,0.25,-885.4726710284426,-581.6644062051499,1.9536060731756357
187,18.7,0.5,0.25,-889.5205882087482,-571.9187698097554,1.887730983719819
188,18.8,0.5,0.25,-892.7818606894451,-561.9358622284968,1.8204651083713688
189,18.900000000000002,0.5,0.25,-895.3871928200583,-551.5472068091993,1.753706285983771
190,19.0,0.5,0.25,-897.342940397846,-540.9228268936614,1.6885399631423754
191,19.1,0.5,0.25,-898.5892372746874,-530.5374260094621,1.6223932167327713
192,19.200000000000003,0.5,0.25,-899.1310008487497,-519.9153054711617,1.5563573435654274
193,19.3,0.5,0.25,-898.9780280812214,-509.2592756726852,1.4900538390725333
194,19.400000000000002,0.5,0.25,-898.1221157343581,-498.67856244041,1.4238356382270085
195,19.5,0.5,0.25,-896.587231923747,-488.335199109833,1.3569544373436893
196,19.6,0.5,0.25,-894.3210323207899,-477.7961205654451,1.2910745077696035
197,19.700000000000003,0.5,0.25,-891.4165987755027,-467.5764426661012,1.2252277119227377
198,19.8,0.5,0.25,-887.8489286537992,-457.7002821818516,1.1597232610735577
199,19.900000000000002,0.5,0.25,-883.5766790793505,-447.7888211956159,1.0934464757512012
200,20.0,0.5,0.25,-878.8158221197197,-438.3158063049427,1.0269043841668424
201,20.1,0.5,0.25,-873.347595013696,-429.38224214227165,0.9605903096050229
202,20.200000000000003,0.5,0.25,-867.2380043045868,-420.7695697640669,0.8939142958616569
203,20.3,0.5,0.25,-860.6423166825165,-412.508036502951,0.8285834834378034
204,20.400000000000002,0.5,0.25,-853.4907407423409,-404.6336971841345,0.76195054105519
205,20.5,0.5,0.25,-845.8100857151692,-397.2352735168968,0.6959117016310921
206,20.6,0.5,0.25,-837.6093116949409,-390.39808577961657,0.6291443763043452
207,20.700000000000003,0.5,0.25,-829.0969228896325,-384.1935739288814,0.5625605168141466
208,20.8,0.5,0.25,-820.0580302904449,-378.3908040698044,0.4971939386784819
209,20.900000000000002,0.5,0.25,-810.7166380991907,-373.3843682264381,0.43150081527679107
210,21.0,0.5,0.25,-801.0875479217987,-368.8781455015675,0.3655707181364379
211,21.1,0.5,0.25,-791.1588931547296,-365.10926887895425,0.29919504555750037
212,21.200000000000003,0.5,0.25,-781.0187392879506,-362.01127383565165,0.2327030523586599
213,21.3,0.5,0.25,-770.7581866146583,-359.5698378225891,0.16635807822625512
214,21.400000000000002,0.5,0.25,-760.500308037889,-357.82622085635063,0.10115349739120001
215,21.5,0.5,0.25,-749.935812692582,-356.76814395387373,0.03422421772889396
216,21.6,0.5,0.25,-739.4827009071075,-356.4014418801741,6.250954349836106
217,21.700000000000003,0.5,0.25,-728.7573515046064,-356.74979973278306,6.184082399427403
218,21.8,0.5,0.25,-718.2208794159916,-357.7892919635188,6.118324251176364
219,21.900000000000002,0.5,0.25,-707.8935212241811,-359.5286735124525,6.05282962271791
220,22.0,0.5,0.25,-697.5338617459748,-361.91187503496843,5.986031190824038
221,22.1,0.5,0.25,-687.4565246640165,-364.98179608418786,5.919459401108574
222,22.200000000000003,0.5,0.25,-677.4479136645383,-368.80119825842377,5.853560879974417
223,22.3,0.5,0.25,-667.8233005459851,-373.3094303913644,5.788717426405684
224,22.400000000000002,0.5,0.25,-658.4346138684757,-378.3038415212805,5.722156109228661
225,22.5,0.5,0.25,-649.6132126211612,-384.0107020212696,5.6559385160850395
226,22.6,0.5,0.25,-641.1465535178552,-390.26806143639675,5.5896151574496455
227,22.700000000000003,0.5,0.25,-632.9214004635746,-396.89609907892674,5.523722121192478
228,22.8,0.5,0.25,-625.2460239886173,-404.19253587854615,5.4569576264666875
229,22.900000000000002,0.5,0.25,-618.1228517889851,-412.1380300433801,5.390974513693196
230,23.0,0.5,0.25,-611.4878408076944,-420.3763216994574,5.323683122674036
231,23.1,0.5,0.25,-605.22125257848,-429.08454767606867,5.2571563906735665
232,23.200000000000003,0.5,0.25,-599.7025307572236,-438.0532031522742,5.191063975692908
233,23.3,0.5,0.25,-594.7583797045818,-447.5679821468602,5.124792279423307
234,23.400000000000002,0.5,0.25,-590.5193037022439,-457.3103789277849,5.058684810618404
235,23.5,0.5,0.25,-586.9100361015089,-467.3948661751788,4.99376902398837
236,23.6,0.5,0.25,-583.9782914216794,-477.39199622720906,4.927342089082391
237,23.700000000000003,0.5,0.25,-581.6704651366931,-487.6385251960486,4.860305442748883
238,23.8,0.5,0.25,-580.1083065993797,-498.3612822275132,4.79308205145198
239,23.900000000000002,0.5,0.25,-579.247133118081,-509.0605253867618,4.725760286033497
240,24.0,0.25,0.5,-579.1016624620141,-519.8794468203948,4.659936082744875
241,24.1,0.25,0.5,-579.6627259199653,-530.5878755332094,4.725417301551816
242,24.200000000000003,0.25,0.5,-579.524022360717,-541.3257552592199,4.792052506675893
243,24.3,0.25,0.5,-578.6791963488273,-551.9011389369015,4.858676683594931
244,24.400000000000002,0.25,0.5,-577.1454466555062,-562.5054111022612,4.924935807570248
245,24.5,0.25,0.5,-574.9128907252906,-572.9035081291396,4.990298248255148
246,24.6,0.25,0.5,-572.0216406850894,-583.1937055156943,5.055674120645011
247,24.700000000000003,0.25,0.5,-568.4539235836518,-593.1743411487714,5.121327373987331
248,24.8,0.25,0.5,-564.139471735831,-603.0464708674668,5.187947158236484
249,24.900000000000002,0.25,0.5,-559.3032102495916,-612.6633762993688,5.25437527985997
250,25.0,0.25,0.5,-553.8726018631158,-621.8059606277187,5.320814928609849
251,25.1,0.25,0.5,-547.8371348541151,-630.5609199326328,5.386650222031979
252,25.200000000000003,0.25,0.5,-541.2104868918682,-638.8981589618376,5.452529204130322
253,25.3,0.25,0.5,-534.0029281652533,-646.8521275025071,5.518302766982381
254,25.400000000000002,0.25,0.5,-526.3892299918386,-654.1738170173497,5.585176742395636
255,25.5,0.25,0.5,-518.1952834447859,-661.1400812769781,5.651756340413523
256,25.6,0.25,0.5,-509.4569859589576,-667.5102581863629,5.717131367546249
257,25.700000000000003,0.25,0.5,-500.4947559262722,-673.2910741899566,5.783444794608805
258,25.8,0.25,0.5,-491.1157976758988,-678.3980911179077,5.8493045009545614
259,25.900000000000002,0.25,0.5,-481.40083556592106,-682.8074714198966,5.915749590899441
260,26.0,0.25,0.5,-471.4027869515579,-686.5638793712907,5.982746803886248
